y,U_x,U_y,U_z
0,0,0,0
0.0351759,0.0411238,-3.20409e-10,0
0.0703518,0.0821361,-7.73059e-10,0
0.105528,0.122591,-1.88695e-09,0
0.140704,0.162934,-3.29175e-09,0
0.175879,0.202993,-5.44196e-09,0
0.211055,0.242912,-7.81543e-09,0
0.246231,0.282561,-1.0621e-08,0
0.281407,0.322064,-1.36188e-08,0
0.316583,0.36129,-1.69817e-08,0
0.351759,0.400388,-2.04591e-08,0
0.386935,0.439178,-2.42142e-08,0
0.422111,0.477886,-2.80115e-08,0
0.457286,0.516224,-3.20009e-08,0
0.492462,0.554559,-3.59911e-08,0
0.527638,0.592432,-4.00675e-08,0
0.562814,0.630305,-4.41439e-08,0
0.59799,0.667808,-4.81842e-08,0
0.633166,0.705202,-5.22137e-08,0
0.668342,0.742362,-5.61663e-08,0
0.703518,0.779262,-6.00333e-08,0
0.738693,0.816107,-6.38709e-08,0
0.773869,0.852498,-6.74676e-08,0
0.809045,0.888889,-7.10643e-08,0
0.844221,0.924925,-7.44139e-08,0
0.879397,0.960791,-7.76449e-08,0
0.914573,0.996564,-8.07983e-08,0
0.949749,1.03189,-8.35816e-08,0
0.984925,1.06722,-8.63648e-08,0
1.0201,1.10221,-8.88415e-08,0
1.05528,1.13699,-9.11127e-08,0
1.09045,1.17176,-9.33839e-08,0
1.12563,1.20599,-9.51178e-08,0
1.1608,1.24019,-9.68235e-08,0
1.19598,1.27426,-9.83928e-08,0
1.23116,1.30788,-9.9495e-08,0
1.26633,1.34149,-1.00597e-07,0
1.30151,1.37485,-1.01433e-07,0
1.33668,1.40786,-1.01906e-07,0
1.37186,1.44087,-1.0238e-07,0
1.40704,1.47354,-1.02507e-07,0
1.44221,1.50593,-1.02341e-07,0
1.47739,1.53832,-1.02175e-07,0
1.51256,1.57034,-1.01642e-07,0
1.54774,1.60209,-1.00838e-07,0
1.58291,1.63385,-1.00035e-07,0
1.61809,1.66525,-9.89069e-08,0
1.65327,1.69635,-9.74839e-08,0
1.68844,1.72745,-9.60608e-08,0
1.72362,1.75828,-9.44098e-08,0
1.75879,1.78871,-9.23962e-08,0
1.79397,1.81913,-9.03825e-08,0
1.82915,1.84945,-8.82818e-08,0
1.86432,1.87918,-8.57159e-08,0
1.8995,1.90891,-8.315e-08,0
1.93467,1.93864,-8.05841e-08,0
1.96985,1.96778,-7.75995e-08,0
2.00503,1.9968,-7.4533e-08,0
2.0402,2.02582,-7.14666e-08,0
2.07538,2.05454,-6.82149e-08,0
2.11055,2.08283,-6.47078e-08,0
2.14573,2.11112,-6.12007e-08,0
2.1809,2.13942,-5.76935e-08,0
2.21608,2.16703,-5.38499e-08,0
2.25126,2.19458,-4.99712e-08,0
2.28643,2.22212,-4.60926e-08,0
2.32161,2.24944,-4.21274e-08,0
2.35678,2.27622,-3.79511e-08,0
2.39196,2.30299,-3.37747e-08,0
2.42714,2.32977,-2.95984e-08,0
2.46231,2.35609,-2.52972e-08,0
2.49749,2.38208,-2.09026e-08,0
2.53266,2.40807,-1.6508e-08,0
2.56784,2.43405,-1.21134e-08,0
2.60302,2.45943,-7.6156e-09,0
2.63819,2.48461,-3.08273e-09,0
2.67337,2.50979,1.45013e-09,0
2.70854,2.53496,5.983e-09,0
2.74372,2.55947,1.05613e-08,0
2.77889,2.58381,1.51501e-08,0
2.81407,2.60815,1.97389e-08,0
2.84925,2.6325,2.43278e-08,0
2.88442,2.65619,2.88994e-08,0
2.9196,2.67968,3.34658e-08,0
2.95477,2.70318,3.80321e-08,0
2.98995,2.72667,4.25984e-08,0
3.02513,2.74963,4.71044e-08,0
