# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999991e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	4.127907e-01	9.999999e-01
3             	8.695099e-02	5.105710e-02	2.610410e-01
4             	1.645708e-01	2.169171e-02	1.171764e-01
5             	2.057149e-01	1.542985e-02	1.167796e-01
6             	2.234896e-01	1.220798e-02	1.507207e-01
7             	2.276770e-01	9.934663e-03	1.654608e-01
8             	2.235197e-01	8.290576e-03	1.595777e-01
9             	2.217751e-01	7.011345e-03	1.434266e-01
10            	2.293029e-01	5.995123e-03	1.305869e-01
11            	2.350065e-01	5.187159e-03	1.449741e-01
12            	2.171145e-01	4.525664e-03	1.485292e-01
13            	1.596391e-01	3.962605e-03	2.252012e-01
14            	1.142378e-01	3.488239e-03	2.161680e-01
15            	7.654604e-02	3.074733e-03	1.402613e-01
16            	5.707935e-02	2.732836e-03	1.342004e-01
17            	5.021042e-02	2.431044e-03	1.236982e-01
18            	4.917096e-02	2.171257e-03	1.110866e-01
19            	4.958382e-02	1.940536e-03	1.023350e-01
20            	4.976162e-02	1.741677e-03	9.087867e-02
21            	5.016185e-02	1.568599e-03	8.555153e-02
22            	5.021185e-02	1.419602e-03	7.893497e-02
23            	4.974224e-02	1.287408e-03	7.370298e-02
24            	4.888714e-02	1.171023e-03	6.922779e-02
25            	4.772013e-02	1.069243e-03	6.521017e-02
26            	4.630421e-02	9.795139e-04	6.211512e-02
27            	4.478570e-02	9.027584e-04	5.994054e-02
28            	4.303975e-02	8.362750e-04	5.797000e-02
29            	4.114527e-02	7.778316e-04	5.612399e-02
30            	3.931182e-02	7.267800e-04	5.442678e-02
31            	3.763994e-02	6.824320e-04	5.248848e-02
32            	3.603732e-02	6.446184e-04	5.036951e-02
33            	3.447904e-02	6.140884e-04	4.818148e-02
34            	3.299547e-02	5.912733e-04	4.553185e-02
35            	3.156791e-02	5.729733e-04	4.254599e-02
36            	3.024405e-02	5.555249e-04	3.957019e-02
37            	2.896561e-02	5.388635e-04	3.669562e-02
38            	2.778861e-02	5.229301e-04	3.417637e-02
39            	2.647781e-02	5.081297e-04	3.054716e-02
40            	2.555727e-02	4.942464e-04	2.898194e-02
41            	2.460089e-02	4.808429e-04	2.711606e-02
42            	2.370588e-02	4.678909e-04	2.554693e-02
43            	2.297196e-02	4.553646e-04	2.418704e-02
44            	2.229999e-02	4.432404e-04	2.306349e-02
45            	2.152312e-02	4.314967e-04	2.222544e-02
46            	2.097854e-02	4.204249e-04	2.056393e-02
47            	2.043328e-02	4.098160e-04	1.977127e-02
48            	1.991157e-02	3.994807e-04	1.919101e-02
49            	1.943471e-02	3.894096e-04	1.870291e-02
50            	1.887817e-02	3.795939e-04	1.929515e-02
51            	1.848615e-02	3.700252e-04	1.767574e-02
52            	1.812431e-02	3.606960e-04	1.722848e-02
53            	5.626137e-02	3.515990e-04	1.681771e-02
54            	5.784548e-02	3.420700e-04	2.546399e-02
