# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999919e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	9.895790e-01	1.000000e+00
3             	3.215665e-01	1.756464e-01	6.450058e-01
4             	1.978325e-01	8.060180e-02	6.388201e-01
5             	1.331671e-01	9.197952e-02	4.641207e-01
6             	1.629323e-01	7.711249e-02	6.035273e-01
7             	2.471797e-01	1.046558e-01	6.567080e-01
8             	4.382510e-01	1.218065e-01	5.947250e-01
9             	4.151613e-01	9.574918e-02	6.637217e-01
10            	3.391383e-01	5.866652e-02	7.170904e-01
11            	5.560109e-01	4.713775e-02	6.211292e-01
12            	3.729879e-01	3.906610e-02	5.538969e-01
13            	5.192836e-01	3.544749e-02	5.704802e-01
14            	3.144647e-01	3.298056e-02	5.968096e-01
15            	6.053836e-01	3.221477e-02	6.144412e-01
16            	3.105559e-01	2.946733e-02	6.579118e-01
17            	3.274154e-01	2.762007e-02	6.258336e-01
18            	3.157120e-01	2.544695e-02	4.765366e-01
19            	2.660179e-01	2.378206e-02	5.126930e-01
20            	4.020596e-01	2.205369e-02	5.937691e-01
21            	3.450518e-01	2.145643e-02	5.498696e-01
22            	2.143483e-01	2.160073e-02	4.769099e-01
23            	9.974201e-02	2.135712e-02	4.626882e-01
24            	6.674006e-02	2.158573e-02	3.664921e-01
25            	5.306506e-02	2.180599e-02	2.964487e-01
26            	4.895971e-02	2.211685e-02	2.725435e-01
27            	7.007820e-02	2.210984e-02	2.414603e-01
28            	8.143736e-02	2.287361e-02	2.019485e-01
29            	4.888418e-02	2.222040e-02	1.689626e-01
30            	2.134883e-02	2.227468e-02	1.238896e-01
31            	1.995275e-02	2.085330e-02	1.018176e-01
32            	1.178313e-02	1.825046e-02	1.092333e-01
33            	1.462217e-02	1.475011e-02	1.139975e-01
34            	8.890062e-03	1.276233e-02	1.358470e-01
35            	1.053129e-02	1.187218e-02	1.495865e-01
36            	7.902712e-03	1.136870e-02	1.498685e-01
37            	1.168773e-02	1.083632e-02	1.380081e-01
38            	1.178520e-02	1.056574e-02	1.289572e-01
39            	1.950675e-02	1.020168e-02	1.250204e-01
40            	2.821780e-02	1.009468e-02	1.158143e-01
41            	6.846436e-02	9.798180e-03	1.060143e-01
42            	2.043254e-02	9.636234e-03	1.071975e-01
43            	1.240948e-02	9.496444e-03	1.157005e-01
44            	1.021646e-02	9.342788e-03	1.281869e-01
45            	8.376266e-03	9.208516e-03	1.322696e-01
46            	8.811246e-03	9.096263e-03	1.308208e-01
47            	8.040304e-03	8.994221e-03	1.271231e-01
48            	8.766725e-03	8.903784e-03	1.197192e-01
49            	9.833873e-03	8.821165e-03	1.070823e-01
50            	1.523020e-02	8.746084e-03	9.832784e-02
51            	2.422397e-02	8.681798e-03	8.668807e-02
52            	5.700876e-02	8.622843e-03	8.244054e-02
53            	2.130000e-02	8.566992e-03	7.890204e-02
54            	1.523595e-02	8.516752e-03	7.511292e-02
55            	1.767427e-02	8.473405e-03	7.293936e-02
56            	1.654493e-02	8.439526e-03	6.294184e-02
57            	1.585653e-02	8.403993e-03	4.807507e-02
58            	2.046679e-02	8.374381e-03	4.660362e-02
59            	2.081532e-02	8.349863e-03	4.770459e-02
60            	2.316781e-02	8.330370e-03	4.296357e-02
61            	2.571759e-02	8.309960e-03	4.347715e-02
62            	3.486335e-02	8.295599e-03	4.239425e-02
63            	3.223592e-02	8.285830e-03	4.009395e-02
64            	2.702272e-02	8.274218e-03	4.287691e-02
65            	3.727899e-02	8.265231e-03	4.210228e-02
66            	2.643432e-02	8.259568e-03	3.955772e-02
67            	1.815081e-02	8.259199e-03	3.819333e-02
68            	1.258033e-02	8.260438e-03	4.651873e-02
69            	8.289531e-03	8.260825e-03	4.468925e-02
70            	6.104364e-03	8.262866e-03	3.921082e-02
71            	5.220312e-03	8.270637e-03	3.521975e-02
72            	3.763430e-03	8.279326e-03	3.611040e-02
73            	5.604337e-03	8.291321e-03	3.749796e-02
74            	2.974117e-03	8.302759e-03	3.526877e-02
75            	2.937223e-03	8.315136e-03	3.795434e-02
76            	2.700409e-03	8.329935e-03	3.510293e-02
77            	3.256537e-03	8.345514e-03	2.925762e-02
78            	2.517249e-03	8.362562e-03	2.403270e-02
79            	2.652397e-03	8.381622e-03	1.983889e-02
80            	1.904467e-03	8.401327e-03	1.823959e-02
81            	1.421543e-03	8.423347e-03	1.900166e-02
82            	1.738284e-03	8.445790e-03	1.888259e-02
83            	1.618290e-03	8.470022e-03	1.667713e-02
84            	1.273290e-03	8.495818e-03	1.281999e-02
85            	1.122899e-03	8.522846e-03	1.409331e-02
86            	1.466861e-03	8.550495e-03	1.120686e-02
87            	1.310625e-03	8.580081e-03	1.094986e-02
88            	1.164480e-03	8.611628e-03	9.917042e-03
89            	9.428484e-04	8.644520e-03	9.269686e-03
90            	1.136818e-03	8.676912e-03	8.479525e-03
91            	1.086164e-03	8.711820e-03	8.673507e-03
92            	1.098504e-03	8.749200e-03	7.282693e-03
93            	1.089645e-03	8.786434e-03	7.217586e-03
94            	8.941002e-04	8.824216e-03	7.172367e-03
95            	1.383997e-03	8.863339e-03	7.207358e-03
96            	1.132462e-03	8.904258e-03	8.096076e-03
97            	1.053350e-03	8.944605e-03	7.918405e-03
98            	1.014299e-03	8.984245e-03	7.234424e-03
99            	1.124940e-03	9.026768e-03	6.520165e-03
100           	1.035892e-03	9.073181e-03	6.443662e-03
101           	1.081121e-03	9.121035e-03	6.326984e-03
102           	9.814342e-04	9.167916e-03	5.855285e-03
103           	1.057640e-03	9.214115e-03	5.623840e-03
104           	1.133115e-03	9.261971e-03	5.382972e-03
105           	1.092082e-03	9.300759e-03	5.479693e-03
106           	1.068171e-03	9.353177e-03	5.408642e-03
107           	1.255445e-03	9.407452e-03	5.781878e-03
108           	1.162712e-03	9.462421e-03	6.042717e-03
109           	1.168987e-03	9.508858e-03	5.820441e-03
110           	1.134378e-03	9.557036e-03	5.960768e-03
111           	1.341550e-03	9.616923e-03	6.450244e-03
112           	1.120103e-03	9.670562e-03	6.350278e-03
113           	1.831685e-03	9.613084e-03	5.388282e-03
114           	1.887977e-03	9.582401e-03	5.792996e-03
115           	1.715136e-03	9.581642e-03	6.206772e-03
116           	5.016286e-03	9.797360e-03	6.238693e-03
117           	2.525767e-03	9.506888e-03	6.847021e-03
118           	2.629523e-03	9.775269e-03	9.182573e-03
119           	1.514970e-03	9.490610e-03	8.695159e-03
120           	4.604346e-03	9.757966e-03	6.664365e-03
121           	3.749495e-03	9.479971e-03	1.120783e-02
122           	4.429943e-03	9.739088e-03	7.176754e-03
123           	2.879774e-03	9.474628e-03	6.221635e-03
124           	2.332741e-03	9.726200e-03	9.390168e-03
125           	1.338578e-03	9.471472e-03	1.279015e-02
126           	2.631061e-03	9.713762e-03	9.057269e-03
127           	3.582319e-03	9.468136e-03	7.140853e-03
128           	2.924416e-03	9.702887e-03	4.976218e-03
129           	9.153092e-04	9.467202e-03	8.083414e-03
130           	2.900127e-03	9.695447e-03	7.904399e-03
131           	3.046322e-03	9.466506e-03	8.163553e-03
132           	3.138137e-03	9.689209e-03	6.194626e-03
133           	1.300560e-03	9.466396e-03	6.851240e-03
134           	3.011850e-03	9.681987e-03	7.022756e-03
135           	2.624539e-03	9.467179e-03	6.930766e-03
136           	1.742998e-03	9.678661e-03	8.019043e-03
137           	2.028565e-03	9.471416e-03	1.022055e-02
138           	8.905351e-04	9.676425e-03	9.161368e-03
139           	2.094905e-03	9.475274e-03	9.311385e-03
140           	2.636000e-03	9.672866e-03	7.321970e-03
141           	1.897513e-03	9.478582e-03	6.600471e-03
142           	2.149220e-03	9.669591e-03	8.120777e-03
143           	1.302463e-03	9.482451e-03	9.106285e-03
144           	2.326794e-03	9.666892e-03	8.639136e-03
145           	2.529394e-03	9.485938e-03	9.403444e-03
146           	1.803069e-03	9.663935e-03	9.376718e-03
147           	1.891072e-03	9.490240e-03	1.089922e-02
148           	1.446998e-03	9.662857e-03	9.737893e-03
149           	1.736822e-03	9.486691e-03	8.721534e-03
150           	2.005156e-03	9.590889e-03	7.796242e-03
151           	3.376134e-03	9.746020e-03	7.683689e-03
152           	2.454041e-03	9.476952e-03	1.155284e-02
153           	1.995821e-03	9.576424e-03	1.061952e-02
154           	3.490748e-03	9.691694e-03	9.928512e-03
155           	2.268435e-03	9.481657e-03	9.702080e-03
156           	1.567191e-03	9.575493e-03	9.129114e-03
157           	4.780026e-03	9.691012e-03	9.033129e-03
158           	3.005409e-03	9.486836e-03	6.995895e-03
159           	2.177778e-03	9.579688e-03	8.541823e-03
160           	1.853655e-03	9.679620e-03	1.007728e-02
161           	1.785744e-03	9.496459e-03	9.888620e-03
162           	2.860791e-03	9.551426e-03	8.812695e-03
163           	2.183728e-03	9.616110e-03	8.980012e-03
164           	1.785756e-03	9.754214e-03	9.856238e-03
165           	2.258051e-03	9.506737e-03	1.034603e-02
166           	3.053218e-03	9.575311e-03	8.938546e-03
167           	2.814123e-03	9.538768e-03	8.223042e-03
168           	2.882779e-03	9.561586e-03	8.234419e-03
169           	2.379598e-03	9.645228e-03	9.259777e-03
170           	2.492564e-03	9.753976e-03	9.686747e-03
171           	1.314015e-03	9.534699e-03	9.284002e-03
172           	1.827237e-03	9.595901e-03	8.637179e-03
173           	1.915703e-03	9.566142e-03	8.519094e-03
174           	2.084736e-03	9.587123e-03	8.592933e-03
175           	1.885895e-03	9.586551e-03	8.713473e-03
176           	1.682687e-03	9.595337e-03	8.782058e-03
177           	1.471879e-03	9.599581e-03	8.909919e-03
178           	1.322633e-03	9.605710e-03	8.944988e-03
179           	1.237396e-03	9.610900e-03	9.127946e-03
180           	1.141000e-03	9.616538e-03	9.042374e-03
181           	1.174664e-03	9.621995e-03	9.157919e-03
182           	1.175621e-03	9.627637e-03	9.106193e-03
183           	1.224797e-03	9.633315e-03	9.103716e-03
184           	1.250503e-03	9.639149e-03	9.033648e-03
185           	1.350195e-03	9.645102e-03	9.115898e-03
186           	1.336879e-03	9.651223e-03	9.074834e-03
187           	1.383959e-03	9.657485e-03	9.130591e-03
188           	1.373786e-03	9.663924e-03	9.134848e-03
189           	1.392131e-03	9.670520e-03	9.108348e-03
190           	1.377445e-03	9.677312e-03	9.156787e-03
191           	1.404075e-03	9.684282e-03	9.111247e-03
192           	1.421840e-03	9.691460e-03	9.061803e-03
193           	1.454118e-03	9.698838e-03	9.107270e-03
194           	1.445197e-03	9.706435e-03	9.073022e-03
195           	1.496383e-03	9.714230e-03	9.129070e-03
196           	1.461530e-03	9.722252e-03	9.103428e-03
197           	1.486029e-03	9.730477e-03	9.115361e-03
198           	1.500306e-03	9.738940e-03	9.154971e-03
199           	1.574345e-03	9.747626e-03	9.189609e-03
200           	1.548891e-03	9.756559e-03	9.149954e-03
