y,U_x,U_y,U_z,k,nut,omega,p
0,0,0,0,8.42262e-06,0,789.583,5.03009e-07
0.00502513,0.0802764,-4.50132e-09,0,7.49846e-05,4.95305e-07,612.382,5.02957e-07
0.0100503,0.159882,-9.4641e-09,0,0.000201703,2.19638e-06,432.282,5.02908e-07
0.0150754,0.236136,-1.67343e-08,0,0.000629217,9.92652e-06,237.682,5.02879e-07
0.0201005,0.309365,-2.35715e-08,0,0.00119973,2.39344e-05,89.964,5.02903e-07
0.0251256,0.374844,-2.92992e-08,0,0.00213665,5.4028e-05,62.3732,5.03063e-07
0.0301508,0.434895,-3.35793e-08,0,0.00309475,9.20762e-05,41.3598,5.03253e-07
0.0351759,0.484439,-3.50575e-08,0,0.00409384,0.000145521,33.0777,5.03502e-07
0.040201,0.529298,-3.52952e-08,0,0.00498495,0.000203158,26.2983,5.03692e-07
0.0452261,0.565259,-3.31772e-08,0,0.00567097,0.000268755,22.373,5.03769e-07
0.0502513,0.598571,-3.0698e-08,0,0.00627953,0.00033651,18.9334,5.03774e-07
0.0552764,0.625455,-2.73424e-08,0,0.00670021,0.000409498,16.6722,5.03602e-07
0.0603015,0.651255,-2.40876e-08,0,0.00709085,0.000483367,14.5603,5.03404e-07
0.0653266,0.672115,-2.12922e-08,0,0.00734458,0.000561254,13.1285,5.03091e-07
0.0703518,0.692944,-1.85032e-08,0,0.00759756,0.000639161,11.7002,5.02778e-07
0.0753769,0.709668,-1.65827e-08,0,0.00774959,0.000719668,10.7373,5.02454e-07
0.080402,0.726391,-1.46621e-08,0,0.00790163,0.000800175,9.77431,5.02129e-07
0.0854271,0.740842,-1.3271e-08,0,0.00800513,0.000881377,9.03174,5.01866e-07
0.0904523,0.754625,-1.20358e-08,0,0.00809435,0.000962785,8.35405,5.0162e-07
0.0954774,0.767383,-1.1003e-08,0,0.00816461,0.00104405,7.76302,5.0143e-07
0.100503,0.779002,-1.01951e-08,0,0.0082138,0.00112516,7.2683,5.01303e-07
0.105528,0.790443,-9.41418e-09,0,0.00826012,0.00120616,6.78689,5.0119e-07
0.110553,0.800423,-8.8553e-09,0,0.0082829,0.00128619,6.41457,5.01193e-07
0.115578,0.810402,-8.29641e-09,0,0.00830568,0.00136622,6.04225,5.01195e-07
0.120603,0.819517,-7.85394e-09,0,0.00831626,0.00144518,5.72722,5.01279e-07
0.125628,0.828218,-7.46732e-09,0,0.008321,0.00152363,5.43967,5.01401e-07
0.130653,0.836741,-7.10775e-09,0,0.00832354,0.00160176,5.1626,5.01541e-07
0.135678,0.844421,-6.87737e-09,0,0.00831555,0.00167833,4.93558,5.01766e-07
0.140704,0.8521,-6.64698e-09,0,0.00830757,0.0017549,4.70857,5.01991e-07
0.145729,0.859281,-6.51994e-09,0,0.00829406,0.00183024,4.50812,5.02269e-07
0.150754,0.866129,-6.46218e-09,0,0.00827685,0.00190476,4.32547,5.02583e-07
0.155779,0.872976,-6.40442e-09,0,0.00825964,0.00197928,4.14282,5.02897e-07
0.160804,0.879166,-6.52209e-09,0,0.00823591,0.00205175,3.99178,5.0329e-07
0.165829,0.885322,-6.64893e-09,0,0.00821184,0.00212412,3.84239,5.03688e-07
0.170854,0.891346,-6.81573e-09,0,0.00818659,0.002196,3.69876,5.04104e-07
0.175879,0.896919,-7.11934e-09,0,0.00815731,0.00226617,3.5748,5.04586e-07
0.180905,0.902493,-7.42295e-09,0,0.00812802,0.00233635,3.45085,5.05068e-07
