y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.0166768,-6.09207e-10,0
0.0100503,0.0333083,-1.33357e-09,0
0.0150754,0.0497135,-2.63375e-09,0
0.0201005,0.0660738,-4.09662e-09,0
0.0251256,0.0823187,-5.97636e-09,0
0.0301508,0.0985074,-7.99161e-09,0
0.0351759,0.114587,-1.02691e-08,0
0.040201,0.130608,-1.26104e-08,0
0.0452261,0.146517,-1.50728e-08,0
0.0502513,0.162375,-1.7528e-08,0
0.0552764,0.178108,-1.99658e-08,0
0.0603015,0.193808,-2.2363e-08,0
0.0653266,0.209357,-2.4576e-08,0
0.0703518,0.224906,-2.67859e-08,0
0.0753769,0.240264,-2.8583e-08,0
0.080402,0.255622,-3.03801e-08,0
0.0854271,0.270823,-3.17192e-08,0
0.0904523,0.285979,-3.29235e-08,0
0.0954774,0.301032,-3.37756e-08,0
0.100503,0.315972,-3.42361e-08,0
0.105528,0.330886,-3.46034e-08,0
0.110553,0.345593,-3.42054e-08,0
0.115578,0.360299,-3.38073e-08,0
0.120603,0.374833,-3.27818e-08,0
0.125628,0.389284,-3.14552e-08,0
0.130653,0.403686,-2.99639e-08,0
0.135678,0.417857,-2.76864e-08,0
0.140704,0.432028,-2.54089e-08,0
0.145729,0.446013,-2.25757e-08,0
0.150754,0.459875,-1.93701e-08,0
0.155779,0.473737,-1.61646e-08,0
0.160804,0.487279,-1.21361e-08,0
0.165829,0.500803,-8.0647e-09,0
0.170854,0.514246,-3.81642e-09,0
0.175879,0.527406,1.03747e-09,0
0.180905,0.540566,5.89135e-09,0
0.18593,0.553562,1.10405e-08,0
0.190955,0.566334,1.65917e-08,0
0.19598,0.579106,2.21428e-08,0
0.201005,0.591661,2.80048e-08,0
0.20603,0.604031,3.4131e-08,0
0.211055,0.616402,4.02572e-08,0
0.21608,0.62854,4.66335e-08,0
0.221106,0.640507,5.31947e-08,0
0.226131,0.652474,5.97559e-08,0
0.231156,0.664234,6.64631e-08,0
0.236181,0.675806,7.33028e-08,0
0.241206,0.687377,8.01425e-08,0
0.246231,0.698798,8.70205e-08,0
0.251256,0.709977,9.39596e-08,0
0.256281,0.721156,1.00899e-07,0
0.261307,0.732273,1.07828e-07,0
0.266332,0.743059,1.14708e-07,0
0.271357,0.753845,1.21588e-07,0
0.276382,0.764631,1.28468e-07,0
0.281407,0.775089,1.35172e-07,0
0.286432,0.785482,1.41842e-07,0
0.291457,0.795876,1.48512e-07,0
0.296482,0.806106,1.55039e-07,0
0.301508,0.81611,1.6137e-07,0
0.306533,0.826114,1.67702e-07,0
0.311558,0.836118,1.74033e-07,0
0.316583,0.845771,1.79974e-07,0
0.321608,0.855388,1.85875e-07,0
0.326633,0.865005,1.91775e-07,0
0.331658,0.874511,1.97539e-07,0
0.336683,0.883745,2.02968e-07,0
0.341709,0.892979,2.08397e-07,0
0.346734,0.902212,2.13826e-07,0
0.351759,0.911229,2.18975e-07,0
