y,U_x,U_y,U_z,k,nut
0,0,0,0,3.91341e-06,0
0.00502513,0.121439,3.67103e-09,0,9.49892e-05,4.70552e-07
0.0100503,0.239119,1.37162e-08,0,0.000625339,6.09806e-06
0.0150754,0.345518,2.96239e-08,0,0.001865,2.82616e-05
0.0201005,0.43238,4.76583e-08,0,0.00343183,7.2446e-05
0.0251256,0.499177,6.41212e-08,0,0.00476174,0.000131529
0.0301508,0.550832,7.70468e-08,0,0.00571068,0.000198763
0.0351759,0.591952,8.5977e-08,0,0.00636759,0.000272256
0.040201,0.625589,9.16038e-08,0,0.00682451,0.000350532
0.0452261,0.653769,9.48661e-08,0,0.00714669,0.000432122
0.0502513,0.677868,9.6569e-08,0,0.00737736,0.000515885
0.0552764,0.698839,9.70826e-08,0,0.00754459,0.000600962
0.0603015,0.717358,9.61725e-08,0,0.0076668,0.000686736
0.0653266,0.733914,9.30282e-08,0,0.00775627,0.000772755
0.0703518,0.748726,8.64182e-08,0,0.00781943,0.000858601
0.0753769,0.762243,7.7497e-08,0,0.00786483,0.000943861
0.080402,0.774676,6.7771e-08,0,0.00789636,0.00102809
0.0854271,0.786186,5.86868e-08,0,0.00791686,0.00111144
0.0904523,0.796902,5.13057e-08,0,0.00792842,0.00119433
0.0954774,0.806925,4.59524e-08,0,0.00793265,0.00127698
0.100503,0.816335,4.23557e-08,0,0.00793075,0.00135942
0.105528,0.825176,4.01843e-08,0,0.0079235,0.00144164
0.110553,0.833446,3.93204e-08,0,0.00791126,0.00152367
0.115578,0.841293,3.94247e-08,0,0.00789556,0.00160556
0.120603,0.848756,4.04741e-08,0,0.00787691,0.00168732
0.125628,0.855869,4.24619e-08,0,0.0078557,0.00176898
0.130653,0.862661,4.53981e-08,0,0.00783225,0.00185055
0.135678,0.86906,4.87712e-08,0,0.0078063,0.00193135
0.140704,0.875204,5.16973e-08,0,0.00777879,0.00201122
0.145729,0.881112,5.38371e-08,0,0.0077499,0.00209027
0.150754,0.886802,5.49395e-08,0,0.00771975,0.00216859
0.155779,0.892221,5.43429e-08,0,0.00768811,0.00224612
0.160804,0.897436,5.286e-08,0,0.00765539,0.00232307
0.165829,0.902485,5.09045e-08,0,0.0076218,0.00239956
0.170854,0.907378,4.86821e-08,0,0.0075874,0.0024756
0.175879,0.912039,4.65141e-08,0,0.00755186,0.00255095
0.180905,0.916567,4.45107e-08,0,0.00751568,0.00262586
0.18593,0.920972,4.26721e-08,0,0.00747891,0.00270033
0.190955,0.925214,4.10822e-08,0,0.00744138,0.00277419
0.19598,0.929314,3.96865e-08,0,0.00740321,0.00284741
0.201005,0.933315,3.84083e-08,0,0.00736459,0.00292015
0.20603,0.937192,3.72585e-08,0,0.00732543,0.00299224
0.211055,0.940934,3.62067e-08,0,0.00728568,0.00306353
0.21608,0.944597,3.52034e-08,0,0.0072456,0.00313429
0.221106,0.948154,3.4257e-08,0,0.00720507,0.00320432
0.226131,0.951595,3.33733e-08,0,0.00716406,0.00327346
0.231156,0.954971,3.25316e-08,0,0.00712278,0.00334209
0.236181,0.958246,3.17654e-08,0,0.00708109,0.00340987
0.241206,0.961431,3.11021e-08,0,0.00703905,0.00347692
0.246231,0.964564,3.05059e-08,0,0.0069968,0.00354354
0.251256,0.967587,3.00876e-08,0,0.00695414,0.00360934
0.256281,0.970553,2.97849e-08,0,0.00691127,0.00367484
0.261307,0.973461,2.95964e-08,0,0.00686819,0.00374002
0.266332,0.976272,2.95768e-08,0,0.00682481,0.00380506
0.271357,0.979046,2.95923e-08,0,0.00678132,0.00387018
0.276382,0.981737,2.96451e-08,0,0.0067376,0.00393565
0.281407,0.984372,2.9577e-08,0,0.00669379,0.00400181
0.286432,0.98696,2.94071e-08,0,0.00664989,0.00406855
0.291457,0.989463,2.87628e-08,0,0.00660593,0.00413712
0.296482,0.991938,2.79343e-08,0,0.00656196,0.00420638
0.301508,0.994326,2.63961e-08,0,0.00651804,0.00427832
0.306533,0.996678,2.46121e-08,0,0.0064742,0.00435156
0.311558,0.998968,2.24103e-08,0,0.0064305,0.00442705
0.316583,1.0012,2.03143e-08,0,0.00638702,0.00450448
0.321608,1.00339,1.82894e-08,0,0.00634369,0.00458322
0.326633,1.00551,1.76295e-08,0,0.00630077,0.00466314
0.331658,1.00761,1.73122e-08,0,0.00625795,0.00474334
0.336683,1.00963,1.98755e-08,0,0.00621571,0.00482079
0.341709,1.01162,2.27418e-08,0,0.00617356,0.00489682
0.346734,1.01355,2.7206e-08,0,0.00613189,0.00496351
0.351759,1.01546,3.17108e-08,0,0.00609034,0.00502735
0.356784,1.01732,3.63362e-08,0,0.00604913,0.00508272
0.361809,1.01916,4.04123e-08,0,0.00600805,0.00513647
0.366834,1.02096,4.34674e-08,0,0.00596722,0.00518724
0.371859,1.02273,4.54728e-08,0,0.00592654,0.00523706
0.376884,1.02446,4.60364e-08,0,0.00588607,0.00528559
0.38191,1.02617,4.59121e-08,0,0.00584577,0.00533306
0.386935,1.02785,4.49982e-08,0,0.00580567,0.00537928
0.39196,1.0295,4.36929e-08,0,0.00576574,0.00542434
0.396985,1.03113,4.19676e-08,0,0.005726,0.00546814
0.40201,1.03273,4.00197e-08,0,0.00568644,0.00551074
0.407035,1.03431,3.78221e-08,0,0.00564706,0.005552
0.41206,1.03586,3.55118e-08,0,0.00560784,0.00559212
0.417085,1.03739,3.3053e-08,0,0.00556882,0.00563076
0.422111,1.0389,3.05642e-08,0,0.00552994,0.00566843
0.427136,1.04037,2.80228e-08,0,0.00549128,0.0057044
0.432161,1.04184,2.55076e-08,0,0.00545273,0.00573967
0.437186,1.04327,2.30647e-08,0,0.00541443,0.00577299
0.442211,1.0447,2.06562e-08,0,0.00537618,0.00580595
0.447236,1.04609,1.84617e-08,0,0.00533825,0.00583666
0.452261,1.04748,1.62671e-08,0,0.00530032,0.00586736
0.457286,1.04883,1.44264e-08,0,0.00526274,0.00589556
0.462312,1.05017,1.25924e-08,0,0.00522518,0.00592371
0.467337,1.05149,1.10969e-08,0,0.0051879,0.00594992
0.472362,1.05279,9.68947e-09,0,0.0051507,0.00597561
0.477387,1.05408,8.53367e-09,0,0.00511371,0.00599995
0.482412,1.05535,7.56358e-09,0,0.00507688,0.00602329
0.487437,1.05661,6.72644e-09,0,0.00504018,0.0060459
0.492462,1.05784,6.16449e-09,0,0.00500374,0.006067
0.497487,1.05906,5.618e-09,0,0.00496732,0.006088
0.502513,1.06026,5.40445e-09,0,0.00493128,0.00610695
0.507538,1.06145,5.19091e-09,0,0.00489523,0.0061259
0.512563,1.06262,5.17489e-09,0,0.00485949,0.00614336
0.517588,1.06377,5.23163e-09,0,0.00482386,0.00616026
0.522613,1.06492,5.364e-09,0,0.00478839,0.0061764
0.527638,1.06604,5.61735e-09,0,0.00475318,0.00619133
0.532663,1.06716,5.8715e-09,0,0.00471797,0.00620626
0.537688,1.06825,6.27281e-09,0,0.00468321,0.00621932
0.542714,1.06934,6.67411e-09,0,0.00464844,0.00623238
0.547739,1.07041,7.13561e-09,0,0.00461395,0.00624438
0.552764,1.07146,7.63849e-09,0,0.00457965,0.00625565
0.557789,1.07251,8.14824e-09,0,0.00454542,0.00626668
0.562814,1.07354,8.69823e-09,0,0.00451161,0.00627625
0.567839,1.07456,9.24822e-09,0,0.0044778,0.00628582
0.572864,1.07556,9.79042e-09,0,0.00444433,0.00629432
0.577889,1.07655,1.03287e-08,0,0.00441102,0.00630228
0.582915,1.07753,1.08587e-08,0,0.0043778,0.00631001
0.58794,1.07849,1.13408e-08,0,0.00434504,0.00631644
0.592965,1.07944,1.18229e-08,0,0.00431228,0.00632288
0.59799,1.08038,1.22696e-08,0,0.00427986,0.00632846
0.603015,1.08131,1.26922e-08,0,0.00424767,0.00633345
0.60804,1.08223,1.31143e-08,0,0.00421548,0.00633844
0.613065,1.08312,1.34752e-08,0,0.00418389,0.00634211
0.61809,1.08401,1.38361e-08,0,0.0041523,0.00634579
0.623116,1.08489,1.41873e-08,0,0.00412096,0.00634899
0.628141,1.08575,1.45231e-08,0,0.00409,0.00635143
0.633166,1.08662,1.48589e-08,0,0.00405905,0.00635388
0.638191,1.08745,1.51765e-08,0,0.00402859,0.00635552
0.643216,1.08828,1.54872e-08,0,0.00399831,0.00635686
0.648241,1.08911,1.57968e-08,0,0.00396805,0.00635817
0.653266,1.08991,1.60597e-08,0,0.0039385,0.00635851
0.658291,1.09071,1.63227e-08,0,0.00390894,0.00635886
0.663317,1.09149,1.65694e-08,0,0.0038796,0.00635896
0.668342,1.09226,1.67762e-08,0,0.00385081,0.00635842
0.673367,1.09302,1.69829e-08,0,0.00382202,0.00635789
0.678392,1.09377,1.71425e-08,0,0.00379364,0.00635697
0.683417,1.0945,1.7257e-08,0,0.00376566,0.00635568
0.688442,1.09524,1.73716e-08,0,0.00373768,0.00635438
0.693467,1.09595,1.74122e-08,0,0.0037103,0.00635264
0.698492,1.09665,1.74208e-08,0,0.00368318,0.00635071
0.703518,1.09735,1.74293e-08,0,0.00365606,0.00634877
0.708543,1.09802,1.73312e-08,0,0.00362972,0.0063464
0.713568,1.09869,1.72133e-08,0,0.00360352,0.00634394
0.718593,1.09936,1.70953e-08,0,0.00357732,0.00634149
0.723618,1.09999,1.68428e-08,0,0.00355205,0.00633866
0.728643,1.10063,1.65829e-08,0,0.00352683,0.00633581
0.733668,1.10126,1.63222e-08,0,0.00350162,0.00633296
0.738693,1.10186,1.60005e-08,0,0.00347743,0.00632985
0.743719,1.10247,1.56789e-08,0,0.00345324,0.00632674
0.748744,1.10307,1.5358e-08,0,0.0034291,0.00632362
0.753769,1.10363,1.50574e-08,0,0.00340601,0.00632034
0.758794,1.1042,1.47568e-08,0,0.00338292,0.00631707
0.763819,1.10476,1.44565e-08,0,0.00335986,0.00631379
0.768844,1.1053,1.41766e-08,0,0.00333794,0.00631045
0.773869,1.10583,1.38966e-08,0,0.00331601,0.00630711
0.778894,1.10636,1.36166e-08,0,0.00329409,0.00630376
0.78392,1.10686,1.34229e-08,0,0.00327334,0.0063004
0.788945,1.10736,1.32332e-08,0,0.00325265,0.00629703
0.79397,1.10786,1.30434e-08,0,0.00323196,0.00629366
0.798995,1.10832,1.29175e-08,0,0.00321237,0.00629036
0.80402,1.10878,1.28026e-08,0,0.00319298,0.00628706
0.809045,1.10924,1.26878e-08,0,0.00317358,0.00628377
0.81407,1.10968,1.26098e-08,0,0.00315515,0.00628063
0.819095,1.1101,1.25472e-08,0,0.00313712,0.00627754
0.824121,1.11053,1.24847e-08,0,0.00311909,0.00627445
0.829146,1.11093,1.24355e-08,0,0.0031018,0.00627151
0.834171,1.11132,1.23992e-08,0,0.00308521,0.00626869
0.839196,1.11171,1.23629e-08,0,0.00306862,0.00626587
0.844221,1.11209,1.23151e-08,0,0.00305244,0.00626315
0.849246,1.11243,1.22368e-08,0,0.00303735,0.00626068
0.854271,1.11278,1.21584e-08,0,0.00302226,0.00625822
0.859296,1.11313,1.20801e-08,0,0.00300717,0.00625575
0.864322,1.11344,1.18873e-08,0,0.00299364,0.00625366
0.869347,1.11375,1.16933e-08,0,0.00298012,0.00625157
0.874372,1.11406,1.14992e-08,0,0.0029666,0.00624948
0.879397,1.11435,1.12398e-08,0,0.00295416,0.00624763
0.884422,1.11462,1.09465e-08,0,0.00294227,0.00624591
0.889447,1.11489,1.06533e-08,0,0.00293039,0.00624418
0.894472,1.11516,1.03458e-08,0,0.00291898,0.00624256
0.899497,1.11539,1.00022e-08,0,0.00290879,0.0062412
0.904523,1.11562,9.65865e-09,0,0.0028986,0.00623984
0.909548,1.11585,9.31507e-09,0,0.00288841,0.00623848
0.914573,1.11605,8.90075e-09,0,0.00287973,0.00623747
0.919598,1.11624,8.47482e-09,0,0.00287129,0.00623652
0.924623,1.11643,8.0489e-09,0,0.00286285,0.00623558
0.929648,1.1166,7.60302e-09,0,0.00285511,0.00623476
0.934673,1.11675,7.1255e-09,0,0.00284847,0.00623414
