y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.0865551,6.59001e-09,0
0.0100503,0.172163,1.43547e-08,0
0.0150754,0.253033,2.79929e-08,0
0.0201005,0.329914,4.14684e-08,0
0.0251256,0.396571,5.45269e-08,0
0.0301508,0.456973,6.5618e-08,0
0.0351759,0.505266,7.29009e-08,0
0.040201,0.548756,7.82508e-08,0
0.0452261,0.583123,7.9929e-08,0
0.0502513,0.614911,8.07446e-08,0
0.0552764,0.640442,7.94674e-08,0
0.0603015,0.664935,7.82486e-08,0
0.0653266,0.684694,7.7295e-08,0
0.0703518,0.704424,7.63495e-08,0
0.0753769,0.720264,7.64748e-08,0
0.080402,0.736105,7.66e-08,0
0.0854271,0.749806,7.74614e-08,0
0.0904523,0.762877,7.85396e-08,0
0.0954774,0.774986,7.98791e-08,0
0.100503,0.786025,8.15092e-08,0
0.105528,0.796896,8.31501e-08,0
0.110553,0.806393,8.48798e-08,0
0.115578,0.815891,8.66096e-08,0
0.120603,0.824574,8.81675e-08,0
0.125628,0.832867,8.9643e-08,0
0.130653,0.840993,9.10416e-08,0
0.135678,0.848323,9.20736e-08,0
0.140704,0.855653,9.31055e-08,0
0.145729,0.862511,9.38581e-08,0
0.150754,0.869053,9.44235e-08,0
0.155779,0.875595,9.49889e-08,0
0.160804,0.881514,9.52019e-08,0
0.165829,0.887401,9.53966e-08,0
0.170854,0.893162,9.55381e-08,0
0.175879,0.898495,9.54982e-08,0
0.180905,0.903828,9.54582e-08,0
0.18593,0.90896,9.53758e-08,0
0.190955,0.913818,9.52358e-08,0
0.19598,0.918677,9.50958e-08,0
0.201005,0.923314,9.497e-08,0
0.20603,0.927761,9.48563e-08,0
0.211055,0.932209,9.47426e-08,0
0.21608,0.936451,9.47219e-08,0
0.221106,0.940539,9.477e-08,0
0.226131,0.944627,9.48182e-08,0
0.231156,0.948549,9.501e-08,0
0.236181,0.952319,9.53322e-08,0
0.241206,0.956088,9.56543e-08,0
0.246231,0.959748,9.60556e-08,0
0.251256,0.963233,9.65825e-08,0
0.256281,0.966718,9.71095e-08,0
0.261307,0.970162,9.7596e-08,0
0.266332,0.973389,9.7866e-08,0
0.271357,0.976615,9.8136e-08,0
0.276382,0.979842,9.8406e-08,0
0.281407,0.98287,9.77957e-08,0
0.286432,0.985859,9.70135e-08,0
0.291457,0.988848,9.62312e-08,0
0.296482,0.991745,9.48805e-08,0
0.301508,0.994513,9.27455e-08,0
0.306533,0.997281,9.06105e-08,0
0.311558,1.00005,8.84755e-08,0
0.316583,1.00263,8.65055e-08,0
0.321608,1.00519,8.45526e-08,0
0.326633,1.00775,8.25998e-08,0
0.331658,1.01026,8.15333e-08,0
0.336683,1.01262,8.26289e-08,0
0.341709,1.01499,8.37244e-08,0
0.346734,1.01735,8.482e-08,0
0.351759,1.01962,8.70965e-08,0
0.356784,1.0218,9.02573e-08,0
0.361809,1.02399,9.3418e-08,0
0.366834,1.02618,9.65788e-08,0
0.371859,1.02824,1.00362e-07,0
0.376884,1.03027,1.04357e-07,0
0.38191,1.0323,1.08352e-07,0
0.386935,1.03433,1.12347e-07,0
0.39196,1.03625,1.15143e-07,0
0.396985,1.03814,1.17659e-07,0
0.40201,1.04003,1.20174e-07,0
0.407035,1.04192,1.2269e-07,0
0.41206,1.04371,1.22559e-07,0
0.417085,1.04547,1.21604e-07,0
0.422111,1.04723,1.20648e-07,0
0.427136,1.04899,1.19693e-07,0
0.432161,1.05068,1.17839e-07,0
0.437186,1.05232,1.15382e-07,0
0.442211,1.05397,1.12925e-07,0
0.447236,1.05561,1.10467e-07,0
0.452261,1.05722,1.07901e-07,0
0.457286,1.05874,1.05095e-07,0
0.462312,1.06027,1.02289e-07,0
0.467337,1.0618,9.94825e-08,0
0.472362,1.06333,9.66765e-08,0
0.477387,1.06477,9.4175e-08,0
0.482412,1.06619,9.17047e-08,0
0.487437,1.06761,8.92344e-08,0
0.492462,1.06903,8.6764e-08,0
0.497487,1.07042,8.44954e-08,0
0.502513,1.07174,8.25648e-08,0
0.507538,1.07307,8.06342e-08,0
0.512563,1.07439,7.87037e-08,0
0.517588,1.07571,7.67731e-08,0
0.522613,1.07697,7.51825e-08,0
0.527638,1.07819,7.37307e-08,0
0.532663,1.07942,7.22789e-08,0
0.537688,1.08065,7.0827e-08,0
0.542714,1.08188,6.93752e-08,0
0.547739,1.08302,6.82097e-08,0
0.552764,1.08416,6.70715e-08,0
0.557789,1.0853,6.59334e-08,0
0.562814,1.08643,6.47952e-08,0
0.567839,1.08757,6.3657e-08,0
0.572864,1.08862,6.26619e-08,0
0.577889,1.08967,6.16701e-08,0
0.582915,1.09072,6.06783e-08,0
0.58794,1.09177,5.96865e-08,0
0.592965,1.09282,5.86947e-08,0
0.59799,1.09379,5.77631e-08,0
0.603015,1.09476,5.68382e-08,0
0.60804,1.09572,5.59133e-08,0
0.613065,1.09669,5.49884e-08,0
0.61809,1.09766,5.40634e-08,0
0.623116,1.09856,5.31712e-08,0
0.628141,1.09945,5.22945e-08,0
0.633166,1.10033,5.14178e-08,0
0.638191,1.10121,5.05411e-08,0
0.643216,1.10209,4.96644e-08,0
0.648241,1.10295,4.87993e-08,0
0.653266,1.10375,4.79603e-08,0
0.658291,1.10456,4.71214e-08,0
0.663317,1.10536,4.62824e-08,0
0.668342,1.10616,4.54435e-08,0
0.673367,1.10696,4.46045e-08,0
0.678392,1.1077,4.39124e-08,0
0.683417,1.10843,4.32616e-08,0
0.688442,1.10915,4.26107e-08,0
0.693467,1.10988,4.19599e-08,0
0.698492,1.1106,4.13091e-08,0
0.703518,1.11132,4.06788e-08,0
0.708543,1.11196,4.02433e-08,0
0.713568,1.11261,3.98079e-08,0
0.718593,1.11326,3.93724e-08,0
0.723618,1.11391,3.89369e-08,0
0.728643,1.11455,3.85014e-08,0
0.733668,1.11518,3.80938e-08,0
0.738693,1.11575,3.7771e-08,0
0.743719,1.11633,3.74481e-08,0
0.748744,1.1169,3.71253e-08,0
0.753769,1.11747,3.68024e-08,0
0.758794,1.11804,3.64796e-08,0
0.763819,1.11859,3.61568e-08,0
0.768844,1.11909,3.58342e-08,0
0.773869,1.11959,3.55117e-08,0
0.778894,1.12008,3.51891e-08,0
0.78392,1.12058,3.48665e-08,0
0.788945,1.12107,3.45439e-08,0
0.79397,1.12156,3.42123e-08,0
0.798995,1.12198,3.36818e-08,0
0.80402,1.1224,3.31513e-08,0
0.809045,1.12282,3.26208e-08,0
0.81407,1.12324,3.20903e-08,0
0.819095,1.12366,3.15598e-08,0
0.824121,1.12408,3.10294e-08,0
0.829146,1.12445,3.03351e-08,0
0.834171,1.1248,2.95627e-08,0
0.839196,1.12515,2.87904e-08,0
0.844221,1.12549,2.80181e-08,0
0.849246,1.12584,2.72457e-08,0
0.854271,1.12618,2.64734e-08,0
0.859296,1.12652,2.56839e-08,0
0.864322,1.12679,2.47784e-08,0
0.869347,1.12706,2.38729e-08,0
0.874372,1.12733,2.29674e-08,0
0.879397,1.1276,2.20619e-08,0
0.884422,1.12787,2.11564e-08,0
0.889447,1.12814,2.02509e-08,0
0.894472,1.12838,1.93176e-08,0
0.899497,1.12857,1.83413e-08,0
0.904523,1.12877,1.7365e-08,0
0.909548,1.12896,1.63887e-08,0
0.914573,1.12915,1.54124e-08,0
0.919598,1.12935,1.44361e-08,0
0.924623,1.12954,1.34598e-08,0
0.929648,1.1297,1.25038e-08,0
0.934673,1.12982,1.15713e-08,0
0.939698,1.12993,1.06389e-08,0
0.944724,1.13005,9.70642e-09,0
0.949749,1.13016,8.77396e-09,0
0.954774,1.13028,7.8415e-09,0
0.959799,1.1304,6.90904e-09,0
0.964824,1.13049,6.00161e-09,0
0.969849,1.13053,5.14424e-09,0
0.974874,1.13057,4.28687e-09,0
0.979899,1.1306,3.42949e-09,0
0.984925,1.13064,2.57212e-09,0
0.98995,1.13068,1.71475e-09,0
0.994975,1.13072,8.57373e-10,0
1,1.13076,0,0
