# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999872e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	3.796366e-01	1.000000e+00
3             	2.052160e-01	5.546002e-02	3.683872e-01
4             	1.324560e-01	2.611682e-02	2.405634e-01
5             	1.389677e-01	1.805792e-02	2.950734e-01
6             	1.410956e-01	1.395588e-02	3.609645e-01
7             	1.563872e-01	1.112303e-02	3.974412e-01
8             	1.643289e-01	9.088264e-03	3.910113e-01
9             	1.457610e-01	7.589292e-03	3.795580e-01
10            	1.318194e-01	6.428889e-03	4.083487e-01
11            	1.205917e-01	5.505855e-03	4.339172e-01
12            	1.186138e-01	4.746828e-03	4.478200e-01
13            	1.068747e-01	4.131620e-03	4.498705e-01
14            	1.028446e-01	3.626711e-03	4.253717e-01
15            	1.029718e-01	3.189832e-03	3.918402e-01
16            	1.018151e-01	2.823991e-03	3.574027e-01
17            	1.056912e-01	2.502106e-03	3.567124e-01
18            	1.071897e-01	2.225976e-03	3.991272e-01
19            	1.068515e-01	1.987193e-03	3.756987e-01
20            	1.078698e-01	1.780040e-03	3.277630e-01
21            	1.087404e-01	1.599192e-03	2.785853e-01
22            	1.066142e-01	1.438943e-03	2.428682e-01
23            	1.094198e-01	1.302206e-03	2.409759e-01
24            	1.069524e-01	1.180120e-03	2.608905e-01
25            	1.086124e-01	1.075705e-03	2.885790e-01
26            	1.043151e-01	9.854697e-04	3.041627e-01
27            	9.704163e-02	9.059037e-04	3.228690e-01
28            	9.442562e-02	8.349662e-04	3.052090e-01
29            	9.025153e-02	7.696511e-04	2.720745e-01
30            	8.852379e-02	7.113743e-04	2.456940e-01
31            	8.551774e-02	6.579558e-04	2.343839e-01
32            	7.814477e-02	6.101981e-04	2.232178e-01
33            	7.994132e-02	5.672885e-04	2.077271e-01
34            	7.434264e-02	5.284884e-04	1.748430e-01
35            	6.522613e-02	4.928233e-04	1.465649e-01
36            	5.961850e-02	4.605625e-04	1.271345e-01
37            	5.496897e-02	4.309177e-04	1.290561e-01
38            	4.532970e-02	4.034454e-04	1.069578e-01
39            	4.354790e-02	3.786370e-04	1.076372e-01
40            	4.502790e-02	3.562667e-04	9.228115e-02
41            	4.377871e-02	3.358296e-04	8.484228e-02
42            	4.268840e-02	3.170749e-04	7.993861e-02
43            	4.222634e-02	2.996909e-04	7.921863e-02
44            	4.123131e-02	2.838601e-04	7.714762e-02
45            	4.060121e-02	2.691860e-04	7.114400e-02
46            	3.835588e-02	2.557137e-04	7.459904e-02
47            	3.617206e-02	2.435252e-04	7.046558e-02
48            	3.843763e-02	2.325375e-04	6.949386e-02
49            	3.361022e-02	2.224976e-04	6.561412e-02
50            	3.202807e-02	2.133085e-04	6.226134e-02
51            	3.038165e-02	2.049585e-04	5.771910e-02
52            	2.784604e-02	1.973511e-04	5.396339e-02
53            	2.807668e-02	1.904965e-04	5.134137e-02
54            	2.485841e-02	1.844378e-04	4.811522e-02
55            	2.364930e-02	1.791251e-04	4.681072e-02
56            	2.219197e-02	1.746330e-04	4.342066e-02
57            	2.202778e-02	1.704738e-04	4.197325e-02
58            	2.113658e-02	1.664512e-04	4.063744e-02
59            	2.070242e-02	1.625523e-04	3.897868e-02
60            	1.957004e-02	1.587235e-04	3.807876e-02
61            	1.810287e-02	1.549696e-04	3.661692e-02
62            	1.798365e-02	1.513018e-04	3.591264e-02
63            	1.759316e-02	1.477052e-04	3.506945e-02
64            	5.385590e-02	1.441860e-04	3.507905e-02
65            	5.393421e-02	1.405166e-04	1.324427e-01
66            	5.367866e-02	1.370153e-04	1.792177e-01
67            	4.913267e-02	1.336033e-04	1.638132e-01
68            	4.132431e-02	1.302785e-04	1.263026e-01
69            	3.419160e-02	1.270443e-04	9.852905e-02
70            	2.862367e-02	1.238788e-04	7.777645e-02
71            	2.437659e-02	1.207873e-04	6.513734e-02
72            	2.139439e-02	1.177714e-04	5.241598e-02
73            	1.874994e-02	1.148245e-04	4.434903e-02
74            	1.683210e-02	1.119492e-04	3.948537e-02
75            	1.567178e-02	1.091492e-04	3.643603e-02
76            	1.512346e-02	1.064422e-04	3.467283e-02
77            	1.377827e-02	1.037944e-04	3.446622e-02
78            	1.343539e-02	1.012060e-04	3.336450e-02
79            	1.299047e-02	9.867218e-05	3.241533e-02
80            	1.312838e-02	9.619595e-05	3.008374e-02
81            	4.405879e-02	9.377466e-05	2.976173e-02
82            	3.264773e-02	9.157421e-05	6.501240e-02
83            	2.616862e-02	8.938455e-05	7.759420e-02
84            	1.826523e-02	8.723482e-05	6.141338e-02
85            	9.905837e-03	8.512193e-05	4.178917e-02
86            	5.631207e-03	8.304930e-05	2.971417e-02
87            	7.139338e-03	8.101789e-05	2.041319e-02
88            	9.145829e-03	7.902662e-05	2.172704e-02
89            	1.088984e-02	7.707624e-05	2.581174e-02
90            	1.225691e-02	7.516885e-05	2.777650e-02
91            	1.311002e-02	7.330267e-05	2.861432e-02
92            	1.360822e-02	7.147763e-05	2.869179e-02
93            	1.369652e-02	6.969365e-05	2.913838e-02
94            	1.373417e-02	6.796247e-05	2.913973e-02
95            	1.367618e-02	6.627387e-05	2.906941e-02
96            	1.351676e-02	6.462327e-05	2.910228e-02
97            	1.332255e-02	6.301018e-05	2.917782e-02
98            	1.320500e-02	6.143439e-05	2.919368e-02
99            	4.303941e-02	5.989538e-05	2.928327e-02
100           	3.311574e-02	5.854004e-05	6.076190e-02
101           	2.729499e-02	5.718783e-05	7.381660e-02
102           	1.948088e-02	5.586037e-05	5.996950e-02
103           	1.160367e-02	5.455701e-05	4.031553e-02
104           	6.398896e-03	5.327866e-05	2.714678e-02
105           	6.457100e-03	5.202512e-05	1.880927e-02
106           	8.313835e-03	5.079636e-05	1.629598e-02
107           	9.603273e-03	4.959265e-05	1.965187e-02
108           	1.055071e-02	4.841410e-05	2.287956e-02
109           	1.167338e-02	4.726050e-05	2.415348e-02
110           	1.218222e-02	4.613175e-05	2.590032e-02
111           	1.288294e-02	4.502767e-05	2.645553e-02
112           	1.320048e-02	4.394807e-05	2.703530e-02
113           	1.312719e-02	4.289262e-05	2.836149e-02
114           	1.311440e-02	4.186101e-05	2.846466e-02
115           	1.308531e-02	4.085277e-05	2.841794e-02
116           	1.302015e-02	3.986769e-05	2.839618e-02
117           	4.475967e-02	3.890526e-05	2.841972e-02
118           	3.708754e-02	3.811697e-05	6.429825e-02
119           	3.006992e-02	3.731342e-05	7.731503e-02
120           	2.184431e-02	3.652146e-05	6.212475e-02
121           	1.384774e-02	3.574196e-05	4.225240e-02
122           	8.712246e-03	3.497505e-05	2.662906e-02
123           	7.547660e-03	3.422120e-05	1.842887e-02
124           	8.181197e-03	3.348062e-05	1.188465e-02
125           	9.072945e-03	3.275333e-05	1.339612e-02
126           	9.795918e-03	3.203950e-05	1.655783e-02
127           	1.039759e-02	3.133913e-05	1.925227e-02
128           	1.115652e-02	3.065232e-05	2.097175e-02
129           	1.180371e-02	2.997903e-05	2.268628e-02
130           	1.221248e-02	2.931919e-05	2.457712e-02
131           	1.245684e-02	2.867279e-05	2.571163e-02
132           	1.255214e-02	2.803962e-05	2.649437e-02
133           	1.257207e-02	2.741963e-05	2.679100e-02
134           	1.254598e-02	2.681260e-05	2.717023e-02
135           	1.246995e-02	2.621837e-05	2.712217e-02
136           	1.237372e-02	2.563676e-05	2.713055e-02
137           	4.079509e-02	2.506755e-05	2.706854e-02
138           	3.894021e-02	2.467239e-05	6.475107e-02
139           	3.153155e-02	2.424071e-05	8.044984e-02
140           	2.372582e-02	2.381134e-05	6.494206e-02
141           	1.574266e-02	2.338591e-05	4.544595e-02
142           	1.060154e-02	2.296548e-05	2.737329e-02
143           	8.311885e-03	2.255025e-05	1.622299e-02
144           	7.957697e-03	2.214052e-05	9.872721e-03
