# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999964e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	9.886240e-01	1.000000e+00
3             	2.082952e-01	4.764848e-01	5.222679e-01
4             	1.325980e-01	9.004581e-02	2.637230e-01
5             	1.505967e-01	7.239291e-02	3.826600e-01
6             	2.307933e-01	6.146419e-02	6.865991e-01
7             	1.675415e-01	4.701233e-02	4.158212e-01
8             	1.818721e-01	4.442384e-02	2.906651e-01
9             	1.727475e-01	3.596382e-02	2.587327e-01
10            	2.020256e-01	2.988395e-02	2.837501e-01
11            	2.235303e-01	2.577502e-02	2.144201e-01
12            	2.178941e-01	2.263564e-02	2.150161e-01
13            	1.581884e-01	2.033696e-02	2.389592e-01
14            	1.166761e-01	1.849687e-02	2.077675e-01
15            	8.862016e-02	1.705680e-02	1.822669e-01
16            	6.645964e-02	1.584783e-02	1.709838e-01
17            	5.260741e-02	1.485074e-02	1.433854e-01
18            	4.171862e-02	1.397771e-02	1.349405e-01
19            	3.122807e-02	1.325183e-02	1.324090e-01
20            	2.869217e-02	1.259003e-02	1.138181e-01
21            	2.718288e-02	1.204390e-02	8.391145e-02
22            	2.486429e-02	1.153175e-02	6.127247e-02
23            	2.180244e-02	1.108164e-02	4.257551e-02
24            	2.240026e-02	1.067132e-02	3.521891e-02
25            	1.935917e-02	1.029007e-02	3.100545e-02
26            	1.559531e-02	9.948335e-03	3.123555e-02
27            	1.390049e-02	9.633437e-03	3.333772e-02
28            	1.303120e-02	9.341497e-03	3.391535e-02
29            	1.007286e-02	9.073290e-03	3.213844e-02
30            	8.837475e-03	8.734282e-03	3.101983e-02
31            	7.524728e-03	8.414697e-03	3.035723e-02
32            	5.878644e-03	8.113877e-03	2.856386e-02
33            	5.357121e-03	7.846405e-03	2.715222e-02
34            	4.443050e-03	7.597118e-03	2.746543e-02
35            	4.337915e-03	7.368587e-03	2.798598e-02
36            	3.796640e-03	7.164184e-03	2.881967e-02
37            	3.566771e-03	6.977928e-03	2.862571e-02
38            	2.976639e-03	6.803566e-03	2.775721e-02
39            	2.632465e-03	6.640184e-03	2.616237e-02
40            	2.532436e-03	6.488541e-03	2.570317e-02
41            	2.457781e-03	6.349526e-03	2.519955e-02
42            	2.411362e-03	6.217979e-03	2.585031e-02
43            	2.294617e-03	6.094627e-03	2.613164e-02
44            	2.172138e-03	5.974453e-03	2.624665e-02
45            	2.080828e-03	5.864634e-03	2.581970e-02
46            	2.059823e-03	5.760368e-03	2.490782e-02
47            	1.867053e-03	5.659880e-03	2.410841e-02
48            	1.937885e-03	5.562079e-03	2.296028e-02
49            	1.691363e-03	5.469189e-03	2.231523e-02
50            	1.589081e-03	5.382638e-03	2.128112e-02
51            	1.447394e-03	5.298451e-03	2.003515e-02
52            	1.358433e-03	5.215912e-03	1.902224e-02
53            	1.378574e-03	5.134609e-03	1.787297e-02
54            	1.274794e-03	5.058680e-03	1.710443e-02
55            	1.179184e-03	4.986652e-03	1.629832e-02
56            	1.187556e-03	4.916878e-03	1.551725e-02
57            	1.003706e-03	4.847936e-03	1.482343e-02
58            	9.938396e-04	4.779153e-03	1.431879e-02
59            	9.338551e-04	4.716592e-03	1.412680e-02
60            	8.912762e-04	4.656078e-03	1.392710e-02
61            	7.763447e-04	4.597083e-03	1.363999e-02
62            	8.373710e-04	4.539144e-03	1.319148e-02
63            	8.068337e-04	4.481751e-03	1.300573e-02
64            	7.907234e-04	4.428954e-03	1.266119e-02
65            	8.457121e-04	4.378957e-03	1.236303e-02
66            	8.057199e-04	4.330384e-03	1.242750e-02
67            	6.816041e-04	4.282736e-03	1.204176e-02
68            	6.698973e-04	4.235667e-03	1.162614e-02
69            	6.318496e-04	4.191511e-03	1.144531e-02
70            	6.916040e-04	4.149922e-03	1.142569e-02
71            	6.410899e-04	4.109489e-03	1.152035e-02
72            	7.430604e-04	4.070086e-03	1.141810e-02
73            	5.901939e-04	4.031500e-03	1.133615e-02
74            	5.583804e-04	3.994370e-03	1.076627e-02
75            	5.463498e-04	3.962149e-03	1.060681e-02
76            	4.955008e-04	3.930243e-03	1.064925e-02
77            	4.907223e-04	3.899387e-03	1.061856e-02
78            	5.042479e-04	3.869124e-03	1.079404e-02
79            	7.083802e-04	3.839835e-03	1.098941e-02
80            	4.918328e-04	3.812368e-03	1.016191e-02
81            	5.180321e-04	3.787241e-03	9.689450e-03
82            	4.605736e-04	3.763238e-03	9.950419e-03
83            	4.757384e-04	3.738997e-03	1.029885e-02
84            	5.365129e-04	3.714790e-03	1.059316e-02
85            	4.739328e-04	3.691925e-03	1.033262e-02
86            	4.519251e-04	3.670917e-03	1.023199e-02
87            	4.905697e-04	3.651343e-03	9.879056e-03
88            	4.516366e-04	3.631586e-03	9.809853e-03
89            	4.767855e-04	3.612394e-03	9.979709e-03
90            	4.485202e-04	3.593782e-03	1.017552e-02
91            	5.454524e-04	3.576192e-03	1.035168e-02
92            	4.630347e-04	3.558530e-03	1.021967e-02
93            	4.929735e-04	3.542220e-03	1.032481e-02
94            	3.894821e-04	3.526355e-03	1.027958e-02
95            	4.138497e-04	3.510932e-03	1.042221e-02
96            	4.962329e-04	3.495933e-03	1.039401e-02
97            	4.231725e-04	3.480347e-03	1.026130e-02
98            	3.581477e-04	3.464734e-03	1.021363e-02
99            	4.067549e-04	3.451803e-03	1.023566e-02
100           	3.931067e-04	3.438987e-03	1.033262e-02
101           	4.259630e-04	3.425457e-03	1.030647e-02
102           	4.026886e-04	3.412485e-03	1.055128e-02
103           	4.034739e-04	3.399733e-03	1.085204e-02
104           	4.098251e-04	3.386752e-03	1.095113e-02
105           	3.664855e-04	3.374183e-03	1.083864e-02
106           	3.856929e-04	3.362705e-03	1.067772e-02
107           	4.473030e-04	3.351600e-03	1.007884e-02
108           	3.897662e-04	3.340696e-03	9.704149e-03
109           	4.572595e-04	3.329219e-03	9.406672e-03
110           	3.945067e-04	3.317074e-03	1.023105e-02
111           	3.495366e-04	3.305894e-03	1.087731e-02
112           	3.567885e-04	3.296235e-03	1.114076e-02
113           	3.480447e-04	3.286910e-03	1.094685e-02
114           	3.451821e-04	3.277654e-03	1.092722e-02
115           	3.223170e-04	3.268168e-03	1.084293e-02
116           	2.925682e-04	3.258522e-03	1.071663e-02
117           	2.983554e-04	3.248851e-03	1.060016e-02
118           	3.335376e-04	3.241091e-03	1.053430e-02
119           	3.050645e-04	3.234742e-03	1.056916e-02
120           	3.195541e-04	3.228403e-03	1.056823e-02
121           	3.029574e-04	3.221781e-03	1.047780e-02
122           	3.095217e-04	3.215030e-03	1.040712e-02
123           	2.627211e-04	3.208305e-03	1.024444e-02
124           	2.956782e-04	3.202845e-03	9.987659e-03
125           	2.865404e-04	3.198261e-03	9.872390e-03
126           	2.950179e-04	3.193151e-03	9.828719e-03
127           	2.725313e-04	3.187831e-03	9.777340e-03
128           	2.640051e-04	3.182491e-03	9.701969e-03
129           	3.082151e-04	3.177376e-03	9.474491e-03
130           	3.077310e-04	3.172673e-03	9.414019e-03
131           	2.756576e-04	3.169031e-03	9.297426e-03
132           	2.746324e-04	3.165003e-03	9.146490e-03
133           	2.682653e-04	3.160898e-03	9.029756e-03
134           	3.072124e-04	3.156800e-03	8.868746e-03
135           	2.697308e-04	3.152464e-03	8.727081e-03
136           	2.581082e-04	3.148200e-03	8.590449e-03
137           	2.522373e-04	3.145267e-03	8.497024e-03
138           	2.518032e-04	3.142095e-03	8.463553e-03
139           	2.613829e-04	3.138920e-03	8.296560e-03
140           	2.777778e-04	3.135923e-03	8.099731e-03
141           	2.828282e-04	3.131650e-03	8.060603e-03
142           	2.699365e-04	3.128124e-03	8.033217e-03
143           	2.421464e-04	3.126064e-03	7.904350e-03
144           	2.328043e-04	3.123867e-03	7.772971e-03
145           	2.754237e-04	3.121707e-03	7.675773e-03
146           	2.662892e-04	3.119499e-03	7.709177e-03
147           	2.578503e-04	3.115706e-03	7.690057e-03
148           	2.612947e-04	3.112403e-03	7.640802e-03
149           	2.346489e-04	3.111154e-03	7.576509e-03
150           	2.390513e-04	3.109897e-03	7.492916e-03
151           	2.669298e-04	3.108742e-03	7.379287e-03
152           	2.690002e-04	3.106841e-03	7.365345e-03
153           	2.433774e-04	3.104071e-03	7.302224e-03
154           	2.951128e-04	3.101566e-03	7.195459e-03
155           	2.726045e-04	3.100347e-03	7.131758e-03
156           	2.735247e-04	3.099999e-03	7.012995e-03
157           	2.993036e-04	3.099773e-03	6.851259e-03
158           	2.920892e-04	3.098285e-03	6.804499e-03
159           	2.774619e-04	3.096510e-03	6.785002e-03
160           	2.683438e-04	3.094974e-03	6.740196e-03
161           	2.538864e-04	3.093724e-03	6.681749e-03
162           	2.812290e-04	3.093414e-03	6.577369e-03
163           	2.839626e-04	3.093812e-03	6.501679e-03
164           	2.841910e-04	3.092628e-03	6.471829e-03
165           	2.945374e-04	3.091564e-03	6.450232e-03
166           	3.199672e-04	3.090936e-03	6.411228e-03
167           	2.963924e-04	3.090599e-03	6.377480e-03
168           	3.511097e-04	3.089528e-03	6.282952e-03
