y,U_x,U_y,U_z,k,nut
0,0,0,0,3.65565e-07,0
0.00502513,0.0633517,-3.24507e-10,0,9.05905e-06,1.99051e-08
0.0100503,0.126153,-2.65971e-09,0,6.56636e-05,3.2637e-07
0.0150754,0.188416,-8.42597e-09,0,0.000245356,2.19309e-06
0.0201005,0.249532,-1.93456e-08,0,0.000629628,8.74486e-06
0.0251256,0.308279,-3.74796e-08,0,0.00125678,2.44048e-05
0.0301508,0.363092,-6.42487e-08,0,0.00208487,5.25691e-05
0.0351759,0.412734,-9.84647e-08,0,0.00300779,9.3682e-05
0.040201,0.456777,-1.36258e-07,0,0.00391516,0.000145484
0.0452261,0.495549,-1.73765e-07,0,0.00473753,0.000204183
0.0502513,0.529788,-2.07874e-07,0,0.00545055,0.000266003
0.0552764,0.560268,-2.36844e-07,0,0.0060572,0.00033024
0.0603015,0.58759,-2.60407e-07,0,0.0065694,0.000397964
0.0653266,0.612214,-2.78236e-07,0,0.00699964,0.000468854
0.0703518,0.634304,-2.90038e-07,0,0.0073539,0.000542741
0.0753769,0.654433,-2.97278e-07,0,0.00765123,0.000618935
0.080402,0.672871,-3.01077e-07,0,0.00790116,0.000697081
0.0854271,0.68984,-3.02521e-07,0,0.00811156,0.000776928
0.0904523,0.705527,-3.02527e-07,0,0.00828883,0.000858298
0.0954774,0.720085,-3.01788e-07,0,0.00843817,0.000941031
0.100503,0.733648,-3.00785e-07,0,0.00856384,0.00102497
0.105528,0.746283,-2.99828e-07,0,0.00866837,0.00111002
0.110553,0.757992,-2.99135e-07,0,0.00875278,0.00119612
0.115578,0.769018,-2.98724e-07,0,0.00882303,0.00128293
0.120603,0.779431,-2.98606e-07,0,0.00888089,0.0013703
0.125628,0.789287,-2.9878e-07,0,0.00892788,0.0014581
0.130653,0.798635,-2.99236e-07,0,0.00896518,0.0015462
0.135678,0.807369,-2.99997e-07,0,0.00899127,0.00163444
0.140704,0.815705,-3.0088e-07,0,0.00901033,0.0017226
0.145729,0.823675,-3.01804e-07,0,0.00902307,0.00181054
0.150754,0.831309,-3.02696e-07,0,0.0090301,0.00189818
0.155779,0.838527,-3.03385e-07,0,0.00903029,0.00198517
0.160804,0.84544,-3.03774e-07,0,0.00902561,0.00207142
0.165829,0.852103,-3.03856e-07,0,0.00901704,0.00215693
0.170854,0.858533,-3.03607e-07,0,0.00900489,0.00224165
0.175879,0.864626,-3.02765e-07,0,0.00898771,0.00232486
0.180905,0.87053,-3.01561e-07,0,0.0089678,0.00240699
0.18593,0.876258,-3.00021e-07,0,0.00894539,0.00248807
0.190955,0.881758,-2.9805e-07,0,0.00891978,0.00256757
0.19598,0.887061,-2.95766e-07,0,0.00889154,0.00264547
0.201005,0.89223,-2.93302e-07,0,0.00886154,0.00272219
0.20603,0.897231,-2.90657e-07,0,0.00882936,0.00279735
0.211055,0.902052,-2.87943e-07,0,0.00879496,0.00287065
0.21608,0.906769,-2.85231e-07,0,0.00875929,0.00294282
0.221106,0.911348,-2.82557e-07,0,0.008722,0.00301345
0.226131,0.915777,-2.79944e-07,0,0.00868302,0.00308234
0.231156,0.920123,-2.77312e-07,0,0.00864316,0.00315029
0.236181,0.924339,-2.74579e-07,0,0.00860193,0.00321675
0.241206,0.928442,-2.71351e-07,0,0.00855961,0.00328199
0.246231,0.932477,-2.67716e-07,0,0.00851667,0.00334652
0.251256,0.936377,-2.62548e-07,0,0.00847255,0.00340971
0.256281,0.940203,-2.55818e-07,0,0.00842788,0.00347223
0.261307,0.943956,-2.47544e-07,0,0.00838266,0.00353408
0.266332,0.94759,-2.35307e-07,0,0.00833669,0.00359472
0.271357,0.951178,-2.21311e-07,0,0.00829046,0.00365473
0.276382,0.954664,-2.03117e-07,0,0.00824371,0.00371317
0.281407,0.958084,-1.82334e-07,0,0.00819669,0.00376956
0.286432,0.961449,-1.59376e-07,0,0.00814945,0.00382424
0.291457,0.96472,-1.34576e-07,0,0.00810185,0.0038727
0.296482,0.967963,-1.09508e-07,0,0.00805414,0.00391897
0.301508,0.971121,-8.49949e-08,0,0.00800606,0.00395757
0.306533,0.974247,-6.152e-08,0,0.00795781,0.00399422
0.311558,0.977319,-3.98081e-08,0,0.0079093,0.00402758
0.316583,0.980343,-2.02671e-08,0,0.00786053,0.00405926
0.321608,0.983335,-2.1887e-09,0,0.00781158,0.00408981
0.326633,0.986266,1.34169e-08,0,0.00776232,0.00411817
0.331658,0.989183,2.84018e-08,0,0.00771299,0.00414599
0.336683,0.99203,4.07595e-08,0,0.00766328,0.00417123
0.341709,0.994866,5.27495e-08,0,0.00761353,0.00419607
0.346734,0.997643,6.26523e-08,0,0.00756347,0.00421867
0.351759,1.0004,7.20282e-08,0,0.00751332,0.00424063
0.356784,1.00312,7.98359e-08,0,0.00746293,0.00426073
0.361809,1.00581,8.70084e-08,0,0.00741243,0.00427997
0.366834,1.00846,9.30004e-08,0,0.00736173,0.00429763
0.371859,1.01109,9.83282e-08,0,0.0073109,0.00431429
0.376884,1.01368,1.02743e-07,0,0.00725991,0.00432958
0.38191,1.01624,1.0651e-07,0,0.00720879,0.00434379
0.386935,1.01878,1.09533e-07,0,0.00715751,0.00435678
0.39196,1.02128,1.11946e-07,0,0.00710612,0.00436867
0.396985,1.02376,1.13703e-07,0,0.00705459,0.00437941
0.40201,1.02622,1.14899e-07,0,0.00700295,0.00438912
0.407035,1.02865,1.15465e-07,0,0.00695118,0.00439768
0.41206,1.03106,1.15524e-07,0,0.00689931,0.00440532
0.417085,1.03344,1.14915e-07,0,0.00684731,0.00441175
0.422111,1.0358,1.13874e-07,0,0.00679523,0.00441744
0.427136,1.03813,1.12073e-07,0,0.00674302,0.00442181
0.432161,1.04045,1.09957e-07,0,0.00669075,0.00442564
0.437186,1.04273,1.06967e-07,0,0.00663834,0.004428
0.442211,1.04501,1.03836e-07,0,0.00658591,0.00443007
0.447236,1.04725,9.98262e-08,0,0.00653331,0.00443044
0.452261,1.04949,9.58164e-08,0,0.00648072,0.0044308
0.457286,1.05168,9.1005e-08,0,0.00642797,0.00442926
0.462312,1.05388,8.61783e-08,0,0.0063752,0.00442768
0.467337,1.05604,8.08718e-08,0,0.00632232,0.00442461
0.472362,1.05819,7.54407e-08,0,0.00626941,0.00442115
0.477387,1.06032,6.97613e-08,0,0.00621642,0.00441664
0.482412,1.06243,6.38986e-08,0,0.00616337,0.00441136
0.487437,1.06453,5.7915e-08,0,0.00611028,0.00440553
0.492462,1.0666,5.1681e-08,0,0.00605712,0.00439856
0.497487,1.06867,4.54364e-08,0,0.00600395,0.00439151
0.502513,1.0707,3.89662e-08,0,0.0059507,0.00438294
0.507538,1.07273,3.2496e-08,0,0.00589745,0.00437437
0.512563,1.07474,2.60268e-08,0,0.00584415,0.00436468
0.517588,1.07673,1.95581e-08,0,0.00579083,0.00435458
0.522613,1.07871,1.32182e-08,0,0.00573751,0.00434392
0.527638,1.08066,7.08411e-09,0,0.00568416,0.00433237
0.532663,1.08262,9.53602e-10,0,0.00563082,0.0043208
0.537688,1.08453,-4.52319e-09,0,0.00557748,0.00430784
0.542714,1.08645,-9.99999e-09,0,0.00552414,0.00429488
0.547739,1.08834,-1.50897e-08,0,0.00547083,0.00428112
0.552764,1.09022,-1.99131e-08,0,0.00541753,0.00426681
0.557789,1.0921,-2.46488e-08,0,0.00536425,0.00425231
0.562814,1.09394,-2.88697e-08,0,0.00531105,0.00423664
0.567839,1.09578,-3.30906e-08,0,0.00525784,0.00422098
0.572864,1.0976,-3.69517e-08,0,0.00520473,0.00420443
0.577889,1.09941,-4.06311e-08,0,0.00515166,0.00418745
0.582915,1.10121,-4.42331e-08,0,0.00509862,0.00417029
0.58794,1.10297,-4.73902e-08,0,0.00504575,0.0041521
0.592965,1.10474,-5.05472e-08,0,0.00499287,0.00413391
0.59799,1.10649,-5.33271e-08,0,0.00494013,0.00411505
0.603015,1.10822,-5.58514e-08,0,0.0048875,0.00409572
0.60804,1.10995,-5.83714e-08,0,0.00483486,0.00407638
0.613065,1.11164,-6.03756e-08,0,0.00478253,0.00405594
0.61809,1.11334,-6.23799e-08,0,0.0047302,0.00403549
0.623116,1.11502,-6.42773e-08,0,0.00467801,0.00401464
0.628141,1.11668,-6.60034e-08,0,0.00462605,0.00399314
0.633166,1.11834,-6.77295e-08,0,0.00457409,0.00397164
0.638191,1.11997,-6.93088e-08,0,0.00452243,0.00394946
0.643216,1.12158,-7.08318e-08,0,0.0044709,0.00392702
0.648241,1.1232,-7.23418e-08,0,0.00441938,0.00390456
0.653266,1.12478,-7.33228e-08,0,0.00436835,0.00388125
0.658291,1.12636,-7.43039e-08,0,0.00431732,0.00385795
0.663317,1.12793,-7.51064e-08,0,0.00426645,0.00383443
0.668342,1.12947,-7.54656e-08,0,0.004216,0.00381037
0.673367,1.13101,-7.58248e-08,0,0.00416554,0.00378632
0.678392,1.13253,-7.57889e-08,0,0.00411542,0.0037619
0.683417,1.13403,-7.53759e-08,0,0.00406562,0.00373712
0.688442,1.13553,-7.49629e-08,0,0.00401582,0.00371235
0.693467,1.137,-7.38523e-08,0,0.00396654,0.00368713
0.698492,1.13846,-7.24385e-08,0,0.00391747,0.00366172
0.703518,1.13992,-7.10246e-08,0,0.00386841,0.00363631
0.708543,1.14134,-6.9379e-08,0,0.00382005,0.00361058
0.713568,1.14276,-6.76902e-08,0,0.00377183,0.00358479
0.718593,1.14418,-6.60014e-08,0,0.0037236,0.00355901
0.723618,1.14555,-6.43679e-08,0,0.00367626,0.00353292
0.728643,1.14692,-6.27374e-08,0,0.00362896,0.00350682
0.733668,1.14829,-6.11112e-08,0,0.00358169,0.00348072
0.738693,1.14961,-5.98202e-08,0,0.00353545,0.00345441
0.743719,1.15093,-5.85292e-08,0,0.00348921,0.0034281
0.748744,1.15225,-5.72608e-08,0,0.00344301,0.0034018
0.753769,1.15352,-5.65966e-08,0,0.00339797,0.00337553
0.758794,1.15479,-5.59325e-08,0,0.00335292,0.00334926
0.763819,1.15606,-5.52701e-08,0,0.00330789,0.003323
0.768844,1.15727,-5.47072e-08,0,0.00326419,0.00329701
0.773869,1.15849,-5.41442e-08,0,0.00322048,0.00327102
0.778894,1.15971,-5.35813e-08,0,0.00317678,0.00324502
0.78392,1.16088,-5.27424e-08,0,0.00313453,0.00321953
0.788945,1.16204,-5.18907e-08,0,0.00309235,0.00319407
0.79397,1.1632,-5.10391e-08,0,0.00305017,0.0031686
0.798995,1.16431,-4.98319e-08,0,0.00300947,0.00314381
0.80402,1.16541,-4.85626e-08,0,0.00296902,0.00311914
0.809045,1.16651,-4.72933e-08,0,0.00292857,0.00309447
